nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,link,mencion
Óscar Iván Zuluaga,@OIZuluaga,2021-08-25T12:11:00.000Z,vamos a desarrollar todo el potencial de cartagena su belleza mar y todo lo que encierra la convierte en un destino turístico inigualable debe fomentarse el turismo y las convenciones y crear más y mejores oportunidades para superar las desigualdades cartagena,,38,32,87,https://twitter.com/OIZuluaga/status/1430502971897434118,['@chambacu_tv']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T18:13:08.000Z,la paralización del puerto de buenaventura por falta de acción por parte de las autoridades fue un error el centro logístico más importante del país no podía dejar de operar mañanasblu,,30,60,170,https://twitter.com/OIZuluaga/status/1430231717458161665,['@bluradioco']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T17:43:52.000Z,esta campaña tiene que servir para encontrar caminos que resuelvan los problemas que le duelen a la gente en ese debate tenemos que estar todos mananasblu,,228,114,327,https://twitter.com/OIZuluaga/status/1430224350859366405,['@bluradioco']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T12:34:45.000Z,hay que acabar con esas mafias de contratación en el programa de alimentación escolar implementar los bancos de alimentos empresas bien organizadas transparentes y ejercer sobre ellas un mayor control cartagena,,68,62,125,https://twitter.com/OIZuluaga/status/1430146561691078696,['@emisorafuentes']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T12:27:15.000Z,si eliminamos los gastos innecesarios del estado y lo hacemos más eficiente podemos ahorrar y eliminar impuestos que afectan la generación de ingresos como el x barranquilla,,366,152,316,https://twitter.com/OIZuluaga/status/1430144674170392595,['@lavozdelacosta']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T11:56:19.000Z,los jóvenes necesitan educación de calidad y oportunidades de empleo por eso voy a orientar la educación al trabajo y al emprendimiento vamos a crear programas de capacitación digital para poner en marcha la nueva fuerza laboral de colombia en barranquilla,,66,38,88,https://twitter.com/OIZuluaga/status/1430136889353375744,['@lavozdelacosta']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T11:52:01.000Z,hay que gobernar para todos los rincones del país llevar empleo a las grandes ciudades y los pequeños pueblos voy a tener en cuenta las realidades de cada municipio barranquilla,,28,30,78,https://twitter.com/OIZuluaga/status/1430135808061853719,['@lavozdelacosta']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-24T11:27:41.000Z,la pandemia nos hizo retroceder en desarrollo económico y social hoy más que nunca los colombianos necesitan soluciones concretas tenemos responsabilidad de trabajar juntos por colombia por eso pongo mi nombre a disposición para crear consensos en caquetá,,20,27,90,https://twitter.com/OIZuluaga/status/1430129680624009220,['@cristalinaflore']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T13:26:41.000Z,colombia puede ser el gran proveedor de alimentos que el mundo necesita mejoremos nuestra producción para llevar comida a cada uno de los rincones de nuestro país y para ser un jugador más importante en el mercado internacional en ibagué ,,102,106,284,https://twitter.com/OIZuluaga/status/1429797241502457859,['@ecosdelcombeima']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T13:19:21.000Z,a colombia hay que verla desde lo local hacia arriba esos nuevos dos millones de empleos dignos y bien remunerados serán una realidad que le cambiará la vida a muchas personas en las regiones en bagué,,17,19,39,https://twitter.com/OIZuluaga/status/1429795397690699780,['@ecosdelcombeima']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T12:56:47.000Z,tienen derecho quienes protestan de manera pacífica pero también tienen derecho los que no protestan que necesitan ir al trabajo salir a la calle poder movilizarse allí está el rol del estado en santander,,14,32,74,https://twitter.com/OIZuluaga/status/1429789718015877129,['@malagalatina']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T12:25:16.000Z,si ponemos la mirada en el campo y en la producción rural vamos a transformar a colombia mejorar el campo significa mejorar la pequeña y la mediana empresa en los pueblos y municipios transformemos el país desde lo local en santander,,58,43,120,https://twitter.com/OIZuluaga/status/1429781785714511872,['@malagalatina']
SIA RADIO,@siaradio,2021-08-23T11:43:46.000Z, alaireenelsia después de las investigaciones puedo mirar a los ojos de los millones de colombianos que han confiado en mi facebooklive ,,7,24,33,https://twitter.com/siaradio/status/1429771343872987140,"['@oizuluaga', '@cedemocratico']"
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T11:53:49.000Z,una agricultura básica de subsistencia es un camino a la pobreza necesitamos profesionalizar la producción nacional para poder aumentar las exportaciones y mejorar la calidad de vida de nuestros agricultores en bogotá,,11,28,61,https://twitter.com/OIZuluaga/status/1429773871931170823,['@siaradio']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T11:51:29.000Z,producir y exportar para poder recuperar el campo los agricultores no solo necesitan tierra sino acceso al crédito y caminos en buen estado para sacar su producción en bogotá,,39,29,55,https://twitter.com/OIZuluaga/status/1429773283042467842,['@siaradio']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T11:49:17.000Z,he generado empleo sé lo que es pagar una nómina y la seguridad social siempre con amor y cariño por este país mi vida ha estado dedicada a promover empleo y bienestar en bogotá,,110,104,396,https://twitter.com/OIZuluaga/status/1429772731172728832,['@siaradio']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T11:45:56.000Z,soy consciente de la necesidad de generar trabajo por eso propongo producir millones de empleos dignos y bien remunerados y universalizar la atención de nuestros niños y niñas entre y años en bogotá,,65,58,114,https://twitter.com/OIZuluaga/status/1429771887224266752,['@siaradio']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T11:33:19.000Z,hay que garantizar que actúe la autoridad el gobierno la policía y la justicia esos tres tienen que operar con contundencia y con el respaldo ciudadano en ,,14,48,120,https://twitter.com/OIZuluaga/status/1429768714107465733,['@siaradio']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-23T11:31:22.000Z,tenemos dos problemas simultáneos las bandas de delincuentes que están robando a todos y de todo celulares motos casas bicicletas el terrorismo urbano con bloqueos vandalismo y destrucción en ,,546,230,438,https://twitter.com/OIZuluaga/status/1429768219934478338,['@siaradio']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T15:21:23.000Z,el tema de la corrupción es central la sociedad está hastiada y por eso yo planteo que el gran acuerdo que tenemos que hacer es el de la reforma a la política y a la justicia que no tramitaremos a través del congreso sino por medio de un referendo ,,2000,604,1000,https://twitter.com/OIZuluaga/status/1429101333362184205,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T15:14:44.000Z,mi invitación y mi propuesta es que construyamos una gran alianza por el empleo por la defensa de la mujer y por la primera infancia ,,1100,254,556,https://twitter.com/OIZuluaga/status/1429099658610151425,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T14:59:52.000Z,debemos aumentar el acceso al crédito y la tecnología para pequeños y medianos productores en el sector agropecuario fomentemos el desarrollo sostenible de nuestros campesinos necesitamos asociatividad para producir a gran escala y enviar alimentos al mundo ,,43,44,98,https://twitter.com/OIZuluaga/status/1429095915357450245,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T14:40:55.000Z, cómo orientamos las compras públicas para que con ese dinero se estimule la pequeña y mediana empresa por ejemplo el plan de alimentación escolar los alimentos que comen los niños del meta pueden ser producidos por lo mismos agricultores del departamento así en cada región ,,35,43,81,https://twitter.com/OIZuluaga/status/1429091146215661579,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T14:23:18.000Z, cómo vamos a acabar el x que es un impuesto que afecta los costos de la pequeña y mediana empresa he dicho reiterativamente que debemos recuperar la visión de un estado austero y con el ahorro de ese gasto burocrático podemos financiar el desmonte de ese impuesto ,,1000,332,618,https://twitter.com/OIZuluaga/status/1429086712882515970,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T14:18:56.000Z,debemos entender lo local y lo regional colombia es un país de regiones y eso implica que tenemos que cambiar nuestro modelo no todo se puede seguir mirando desde bogotá necesitamos tener claridad de que cada departamento y cada municipio tienen realidades propias ,,102,102,285,https://twitter.com/OIZuluaga/status/1429085615593754625,[]
Óscar Iván Zuluaga,@OIZuluaga,2021-08-21T01:50:33.000Z, me voy de antioquia agradecido con dios y reconfortado gracias sen y por demostrarnos esta gran forma de hacer política en diálogo constante con la gente y en busca de soluciones a lo que más afecta a la ciudadanía ,,57,83,236,https://twitter.com/OIZuluaga/status/1428897280166354947,"['@paolaholguin', '@juan_espinalr', '@veronicaarango_', '@simonmolinag']"
Teleantioquia,@Teleantioquia,2021-08-20T11:54:29.000Z, consejota “hay que garantizarle a todos los ciudadanos unos derechos esenciales por ejemplo que puedan trabajar ” precandidato presidencial ,,8,13,43,https://twitter.com/Teleantioquia/status/1428686875674529792,['@oizuluaga']
Teleantioquia,@Teleantioquia,2021-08-20T11:46:59.000Z, al aire hoy nos acompaña en consejota precandidato presidencial ,,7,8,26,https://twitter.com/Teleantioquia/status/1428684987155484674,['@oizuluaga']
Óscar Iván Zuluaga,@OIZuluaga,2021-08-19T23:54:53.000Z,estamos aplicando el lema de la senadora aquí en antioquia suela saliva y saludo ,,296,166,390,https://twitter.com/OIZuluaga/status/1428505782786605059,['@paolaholguin']
Paola Holguín,@PaolaHolguin,2021-08-19T16:14:36.000Z,iniciamos agenda en medellín con el doctor reunidos con parte de nuestro equipo ,,287,138,351,https://twitter.com/PaolaHolguin/status/1428389948655382531,['@oizuluaga']
