nombre,usuario,cantidad_comentarios,cantidad_likes,Cantidad_Retweets,mencion,texto_tokenizado,lematizado
Gustavo Petro,@petrogustavo,90,834,2400,[],proponemos la constitución de una región administrativa y planificadora con autonomía en todo el litoral pacifico son las comunidades del pacífico las que deben gobernar su territorio la mitad del iva a las importaciones que entran por buenaventura debe financiar la región,proponer el constitución de uno región administrativo y planificadoro con autonomía en todo el litoral pacifico ser el comunidad del pacífico el que deber gobernar su territorio el mitad del iva a el importación que entrar por buenaventura deber financiar el región
Gustavo Petro,@petrogustavo,162,1800,4600,[],la violencia en buenaventura tiene un foco además del narcotráfico el uso del territorio que tenían las comunidades negras por el puerto privado que pertenece a las élites económicas del país buena parte de la riqueza de colombia pasa por buenaventura dejándola en la miseria,el violencia en buenaventura tener uno foco además del narcotráfico el uso del territorio que tener el comunidad negro por el puerto privado que pertenecer a el élite económico del país buen parte de el riqueza de colombia pasar por buenaventura dejándola en el miseria
Gustavo Petro,@petrogustavo,253,961,3900,['@jciragorri'],biden solo pudo ganar con sanders sino hubiera existido esa consulta demócrata hoy trump sería presidente quote tweet juan carlos iragorri feb el centro no existe dicen muchos pero llegó biden se puso ahí en medio de trump y de bernie sanders y ganó ,biden solo poder ganar con sanders sino haber existir ese consulta demócrata hoy trump ser presidente quote tweet juan carlos iragorri feb el centro no existir decir mucho pero llegar biden él poner ahí en medio de trump y de bernie sanders y ganar
Gustavo Petro,@petrogustavo,240,2000,4600,[],en el afirmé que las empresas dueñas de minas de carbón dejarían tiradas las minas y en una gran crisis social y ambiental la región ya anuncian hoy su retirada propuse un plan se reconversión laboral para generar energias limpias oídos sordos la multinacional prodeco anuncia que se va del país para ello comenzara con el proceso de devolución de los títulos mineros al gobierno caracol com co,en el afirmé que el empresa dueña de mina de carbón dejarir tirada el mina y en uno gran crisis social y ambiental el región ya anunciar hoy su retirada propusar uno plan él reconversión laboral para generar energia limpio oído sordo el multinacional prodeco anunciar que él ir del país para él comenzar con el proceso de devolución de el título minero al gobierno caracol com co
Gustavo Petro,@petrogustavo,289,1500,4500,['@claudialopez'],irresponsable para hacer política con recursos públicos a ud le dijimos que si se reconstituían los equipos médicos en los barrios de bogotá menos gente moriría y la enfermedad podría controlarse mejor le propusimos apostar por la vida usted prefirió eps y privatizaciones quote tweet claudia lópez feb uribismo petrismo y oportunismo hacen campaña añorando que bogotá fracase y la muerte nos arrase lamentan que el sistema hospitalario no colapse que hayamos superado con el cuidado de todos el segundo pico desprecian el esfuerzo colectivo por la vida mezquindad sin límite show this thread,irresponsable para hacer política con recurso público a ud él decir que si él reconstituir el equipo médico en el barrio de bogotá menos gente morir y el enfermedad poder controlar él mejor él propusimos apostar por el vida usted preferir eps y privatización quote tweet claudia lópez feb uribismo petrismo y oportunismo hacer campaña añorar que bogotá fracase y el muerte yo arrar lamentar que el sistema hospitalario no colapse que haber superar con el cuidado de todo el segundo pico despreciar el esfuerzo colectivo por el vida mezquindad sin límite show this thread
Gustavo Petro,@petrogustavo,45,605,1300,['@lafm'],la burla a la justicia pueden los llamados magistrados de la nueva instancia disciplinaria de la justicia ser exonerados de ser investigación por parte de la corte suprema de justicia invito a los abogados demócratas del país investigar este tema quote tweet la fm feb caso odebrecht piden que comisión de acusación de la cámara investigue a excontralor granados ,el burla a el justicia poder el llamado magistrado de el nuevo instancia disciplinario de el justicia ser exonerar de ser investigación por parte de el corte suprema de justicia invito a el abogado demócrata del país investigar este tema quote tweet el fm feb caso odebrecht pedir que comisión de acusación de el cámara investigar a excontralor granado
Gustavo Petro,@petrogustavo,181,1300,4100,[],confundieron el actual capitalismo ruso con el socialismo soviético y creyeron que había que pelear con rusia y es por eso que no han negociado una sola vacuna sputnik v mas papistas que el papa esperaron que trump nos regalara las vacunas,confundir el actual capitalismo ruso con el socialismo soviético y creer que haber que pelear con rusia y ser por ese que no haber negociar uno solo vacuna sputnik v mas papista que el papa esperar que trump yo regalar el vacuna
Gustavo Petro,@petrogustavo,782,3200,8000,[],la vacuna que no necesita sino una nevera de casa o una caja de icopor con hielo es la que nos permitiría vacunar a la población en todo el territorio nacional resulta que esa vacuna es la rusa pero duque por anacronismo peleó con los rusos sputnik v datos de la vacuna que según estudio resultó ser mejor de lo que se esperaba pese al escepticismo y las dudas la vacuna rusa rompió pronósticos y hoy hace parte de las tres que superan el de eficacia bluradio com,el vacuna que no necesitar sino uno nevera de casa o uno caja de icopor con hielo ser el que yo permitir vacunar a el población en todo el territorio nacional resultar que ese vacuna ser el ruso pero duque por anacronismo pelear con el ruso sputnik v dato de el vacuna que según estudio resultar ser mejor de él que él esperar pese al escepticismo y el duda el vacuna ruso romper pronóstico y hoy hacer parte de el tres que superar el de eficacia bluradio com
Gustavo Petro,@petrogustavo,261,862,2400,"['@velascoluisf', '@revistasemana']",un partido liberal respaldando al hijo de uribe construiría su acto final de suicidio estallaría en pedazos espero que cesar gaviria recupere la línea de la revolución en marcha del liberalismo progresistaquote tweet luis fernando velasco chaves feb división a la vista en el partido liberal vía ,uno partido liberal respaldar al hijo de uribe construir su acto final de suicidio estallar en pedazos esperar que cesar gaviria recuperar el línea de el revolución en marcha del liberalismo progresistaquote tweet luis fernando velasco chaves feb división a el vista en el partido liberal vía
Gustavo Petro,@petrogustavo,71,412,1400,[],me encuentro con representantes de las empresas y escuelas privadas de apoyo al transporte en colombia escuelas de enseñanza de conducción de revisión tecnicomecánica trabajamos políticas de prevención en defensa de la vida desde el transportearmando benedetti reunión asociaciones sector automotriz facebook junto a gustavo petro estaremos escuchando a varios representantes de agremiaciones y asociaciones de los centros de diagnóstico automotor y de los facebook com,yo encontrar con representante de el empresa y escuela privado de apoyo al transporte en colombia escuela de enseñanza de conducción de revisión tecnicomecánico trabajar política de prevención en defensa de el vida desde el transportearmando benedetti reunión asociación sector automotriz facebook junto a gustavo petro estar escuchar a varios representante de agremiación y asociación de el centro de diagnóstico automotor y de el facebook com
