nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,cantidad_retweets,link
Luis,Luis,2021-08-15T19:37:12.000Z,"Que sigamos en lo mismo, con las mismas y gobernados y saqueados por los mismos de hace 200 años. Y qué se cree?
Creo que se les está cayendo la careta, ya no nos meten la mano a la boca tan fácilmente. Urge barrerlos cuál basura dañina",,,,,https://twitter.com/codeba70/status/1426991381193674754
Rochy,Rochy,2021-08-15T19:37:20.000Z,"Si piensa apoyar los acuerdos con los narcoterrorristas, no llegará ni médicamente lejos. Ganó el no en el plebiscito.",,,,,https://twitter.com/RochyTobon/status/1426991414550859777
Martha Z.,Martha Z.,2021-08-15T19:38:16.000Z,,,,,,https://twitter.com/marthaza416/status/1426991650597965832
Camilo Andres Bohorquez Castaño,Camilo Andres Bohorquez Castaño,2021-08-15T19:39:29.000Z,Jajajaja que sigamos dejando a los mismos que sigan robando! Jajajaja vida tan triste la nuestra con estos políticos.,,,,,https://twitter.com/cabcjsbc/status/1426991959294554114
LUIS E. BELTRÁN,LUIS E. BELTRÁN,2021-08-15T21:32:35.000Z,"¿Por qué no dedicó estos años de perdedor a preparar un discurso inteligente, para gente inteligente y no salir con estas pendejadas? 
Ya ni muchos electores de Duque les creen a ustedes.",,,9,96,https://twitter.com/ernestbelt/status/1427020419803107333
R.A.C.B.,R.A.C.B.,2021-08-15T21:37:37.000Z,Si de verdad ama a Colombia reconozca que su tiempo ya pasó.,,,,1,https://twitter.com/raacabosa11/status/1427021686172536832
HRC,HRC,2021-08-15T21:38:07.000Z,Ya estos hijos de puta están cambiando a Venezuela por Perú en el discurso. Que le quede bien claro señor delincuente: ni usted ni ninguno del Uribismo van a subir al poder.,,,4,25,https://twitter.com/hernanrestrepoc/status/1427021811020189699
Andy B,Andy B,2021-08-15T21:39:31.000Z,"Pues si deseas seguir luchando por tu sueño, eso está bien. Pero yo quiero apoyar un candidato que haga trizas los acuerdos de paz. Uno que respete el No del plebiscito.",,5,8,36,https://twitter.com/AndyPelinegra/status/1427022166495744005
Jorge Higuera,Jorge Higuera,2021-08-15T23:23:15.000Z,Otra que se cree entre los 4.000 que va a poner petro a pagar impuestos,,,,2,https://twitter.com/JorgeHi21859011/status/1427048268991762433
Emmanuel Correa,Emmanuel Correa,2021-08-15T21:43:23.000Z,Este hampon su objetivo es la clase obrera.,,1,,,https://twitter.com/sharom0275/status/1427023139662442500
Adriana Sarsynski,Adriana Sarsynski,2021-08-15T21:46:14.000Z,Únase a #CabalPresidente2022,,,1,2,https://twitter.com/AdriSarsynski/status/1427023853323173892
Yeremy Jahir (Sinovac),Yeremy Jahir (Sinovac),2021-08-15T21:51:19.000Z,"Populismo el que usted da.
Salvarnos de los mismos que nos han gobernado?
Ese cuento marica ya no los creemos",,,,1,https://twitter.com/MshadowsMCR/status/1427025134599262208
Jeisson Avila,Jeisson Avila,2021-08-15T21:59:29.000Z,"Lo mas cercano a convertirnos en un país como Venezuela ya lo logró Duque, por eso ahora el fantasma es Perú, ¿que clase de idiotas creen que somo?",,,1,3,https://twitter.com/JAXON99/status/1427027188235309061
Héctor,Héctor,2021-08-15T22:05:52.000Z,"Unir los sectores afines en valores e ideas,  es unir a todos los vándalos y corruptos. De eso están llenos.",,,1,2,https://twitter.com/Hctor22639686/status/1427028795085754368
Patty Sarmiento,Patty Sarmiento,2021-08-15T22:10:23.000Z,Hay que cuidar y proteger la democracia para que no lleguen al poder corruptos como usted y todos los de su calaña.,,,1,,https://twitter.com/MPSDISCAPACIDAD/status/1427029933520527361
Luis Alejandro Parra,Luis Alejandro Parra,2021-08-15T22:18:52.000Z,Patético,,,1,1,https://twitter.com/ing_lapm/status/1427032067649515529
