nombre,usuario,fecha,texto,emoticon,cantidad_comentarios,cantidad_likes,Cantidad_Retweets
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-12T16:41:04.000Z,¡#QUINDIANOS estoy en #Armenia acompáñenme con su firma! #IngRodolfo,,9,39,226,https://twitter.com/ingrodolfohdez/status/1425859894310211592
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T20:11:00.000Z,Mil gracias por el apoyo a los fundadores de la calle del graffiti ¡comprometen mi gratitud!  #IngRodolfo,,3,21,158,https://twitter.com/ingrodolfohdez/status/1425550338841616385
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T20:09:30.000Z,"#Antioqueños felicitaciones por la cultura y el estado impecable que tienen con el 
@metrodemedellin
  #IngRodolfo",,17,43,324,https://twitter.com/ingrodolfohdez/status/1425549960213303306
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T14:22:33.000Z,"En conversación con #CentralMayoristaAntioquia “El problema de #Colombia , es que el ciudadano ve al estado como un atracador” - #IngRodolfo",,16,35,188,https://twitter.com/ingrodolfohdez/status/1425462645642104838
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T13:11:59.000Z,"En respuesta a 
@cavalercromaticJuan feliz día! 109 con Calle 38a San Javier",,,,1,https://twitter.com/ingrodolfohdez/status/1425444889945419783
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T13:09:56.000Z,"En respuesta a 
@sebasmunera94Sebastián estaré hoy miércoles todo el día ¡saludos!",,1,,1,https://twitter.com/ingrodolfohdez/status/1425444373626605574
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-11T12:00:40.000Z,"#MEDELLÍN 
A todos los que me quieran acompañar con su firma los espero en: 

- Plaza Mayorista 7:30 A.M.
- Hotel San Fernando Plaza 9:00 A.M.
- Barrio San Javier 2:00 P.M.",,38,69,258,https://twitter.com/ingrodolfohdez/status/1425426942082355202
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-09T00:00:56.000Z,"Gracias por tanto apoyo Citar Tweet
LIGA de Gobernantes Anticorrupción
@LigaGobernantes
 · 8 ago.
¡Mil y mil gracias #Girón por firmar por El Ingeniero! #LIGAdeGobernantesAnticorrupcion ",,6,22,153,https://twitter.com/ingrodolfohdez/status/1424521036381491200
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-08T00:56:11.000Z,¡#CAMIONEROS: TRABAJAN COMO MULAS Y GANAN MENOS QUE CHOFER DEL PALACIO DE NARIÑO! Este lunes 9 de agosto a las 8:00 pm estaré dando mi Contrato Social con todos los camioneros de #Colombia,,19,51,307,https://twitter.com/ingrodolfohdez/status/1424172553078255616
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-08-04T04:09:24.000Z,"EL FÚTBOL DEBE SER MULTITUDINARIO, EXPRESIVO Y ALEGRE ¡PERO NO VIOLENTO!
#IngRodolfo #Campín #Dimayor #Hinchas",,13,35,255,https://twitter.com/ingrodolfohdez/status/1422771627448754182
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-28T13:33:11.000Z,"¡Lo advertí desde hace un año! Esta familia de bandidos se han hecho elegir con plata robada y han traicionado a los electores, espero que la justicia actúe pronto con 
@MAguilarHurtado
 por que con 
@RICHARDAGUILARV
 se demoraron 7 años y medio en hacer una suma.Citar Tweet
Ing Rodolfo Hernandez !
@ingrodolfohdez
 · 14 abr. 2020
“YO DIGO QUE ANTES QUE TERMINE LA PANDEMIA TIENE QUE ESTAR PRESO RICHARD AGUILAR“

VER: https://youtu.be/Wrn-BWGsOpc ",,34,100,331,https://twitter.com/ingrodolfohdez/status/1420376792368656396
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-28T00:12:01.000Z,"¡LOS POLITIQUEROS HACEN CONTRATOS CON LOS PODEROSOS! YO LOS VOY A HACER CON LA GENTE. #IngRodolfo

Consulte aquí su punto de recolección de firmas más cercano  https://bit.ly/Linea_Rodolfista…",,10,32,151,https://twitter.com/ingrodolfohdez/status/1420175171986542595
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-27T12:16:48.000Z,#SalvemosA los colombianos de las manos de mentirosos y corruptos que nos gobiernan hace más de 30 años. #IngRodolfo,,42,82,398,https://twitter.com/ingrodolfohdez/status/1419995181022121984
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-16T16:52:02.000Z,"#OjoCon el 2022, recuerden que no es un año, es una HORA ¡LA HORA DE COLOMBIA! #IngRodolfo",,34,63,382,https://twitter.com/ingrodolfohdez/status/1416078180771827718
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-15T17:41:55.000Z,¡COLOMBIA NECESITA UN PRESIDENTE QUE ACTÚE! (no uno que HABLE de corrupción y no haga nada) #IngRodolfo,,58,117,647,https://twitter.com/ingrodolfohdez/status/1415728345321443335
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-14T16:38:10.000Z,"¿Qué es una #ReformaTributaria ? ¡Quitarle la plata a los más pobres y dársela a los políticos para que se la roben! #IngRodolfoCitar Tweet
Noticias Caracol
@NoticiasCaracol
 · 14 jul.
Nueva #ReformaTributaria: estas son las bases del proyecto presentado por el Gobierno.

Busca recaudar $15,2 billones. No tocará el IVA ni las pensiones. Contempla, entre otros, extensión del programa Ingreso Solidario y la creación de empleos para jóvenes
http://bit.ly/3wCWyi4",,20,47,128,https://twitter.com/ingrodolfohdez/status/1415349917053247494
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-09T14:26:25.000Z,"¡Mil gracias por el apoyo!Citar Tweet
LIGA de Gobernantes Anticorrupción
@LigaGobernantes
 · 9 jul.
#Quindío firma con La LIGA y con El Ingeniero .

 #IngRodolfo #LIGAdeGobernantes",,28,65,376,https://twitter.com/ingrodolfohdez/status/1413504818434379784
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-07T23:42:56.000Z,"CÓMO HACER PARA DARLE TU FIRMA A EL INGENIERO #IngRodolfo 

Ver:CÓMO HACER PARA DARLE TU FIRMA A EL INGENIERO
Una vez descargado el archivo y con un mínimo de 5 formularios totalmente firmados (15 firmas por hoja) lo estamos recibiendo en la dirección: Carrera 35 A N...
youtube.com",,23,67,167,https://twitter.com/ingrodolfohdez/status/1412920096897519619
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-07T16:46:51.000Z,"#Colombia es el único pais del mundo en donde los manifestantes tienen que salir con gafas y escudos por los ataques del ESMAD ¡Totalmente de acuerdo con las recomendaciones de la #CIDH !Citar Tweet
La FM
@lafm
 · 7 jul.
CIDH determinó que hubo uso excesivo y desproporcionado de la fuerza, en respuesta a protestas https://lafm.com.co/colombia/cidh-determino-que-hubo-uso-excesivo-y-desproporcionado-de-la-fuerza-en-respuesta…",,30,41,160,https://twitter.com/ingrodolfohdez/status/1412815387515834368
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-06T12:08:56.000Z,"#AColombiaLaVeo Acabada, arruinada y desangrada por culpa de esta casta politiquera que nos gobierna hace más de 30 años. #IngRodolfo #FelizMartes",,56,80,472,https://twitter.com/ingrodolfohdez/status/1412383056351072260
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-02T17:13:43.000Z,"@WRadioColombia
 #Aestahora   ENVIVO · Rodolfo Hernández en la W :W Radio Colombia - Rodolfo Hernández: “Sin alianza y sin ladrones”,...
Rodolfo Hernández: “Sin alianza y sin ladrones”, el lema del exalcalde para llegar a la presidencia #ARodolfoHernándezLeDigo
facebook.com",,3,4,12,https://twitter.com/ingrodolfohdez/status/1411010207468199948
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-07-01T11:35:35.000Z,#ElPeorMomentoPara hacer una reforma tributaria y pensar que el pueblo es idiota útil y seguir creciendo la burocracia #IngRodolfo,,36,60,370,https://twitter.com/ingrodolfohdez/status/1410562724929626113
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-30T17:52:59.000Z,"PARA QUÉ ALIARME CON LOS MISMOS POLITIQUEROS QUE HAN DESANGRADO A COLOMBIA POR DÉCADAS . NI CON PETRO, NI CON URIBE, NI CON EL GATO, NI CON EL PERRO. MI ALIANZA SERÁ CON EL PUEBLO DE COLOMBIA.  #IngRodolfo",,301,413,"1,9 mil",https://twitter.com/ingrodolfohdez/status/1410295313429151747
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-30T17:47:59.000Z,"En respuesta a 
@RevistaSemana¿SABE CON QUIÉN ME VOY A ALIAR 
@VickyDavilaH
? ¡CON EL PUEBLO COLOMBIANO!  #IngRodolfo",,2,3,29,https://twitter.com/ingrodolfohdez/status/1410294056886968333
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-22T00:59:55.000Z,"¿QUÉ TAL ESTOS CONGRESISTAS?Ing Rodolfo Hernandez !
@ingrodolfohdez
¿QUÉ TAL ESTOS CONGRESISTAS?
pscp.tv",,5,17,61,https://twitter.com/ingrodolfohdez/status/1407141262294065154
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-20T23:36:25.000Z,SER PADRE HA SIDO UNO DE MIS MEJORES LOGROS ¡ FELIZ DÍA A TODOS LOS PADRES DE #COLOMBIA ! #diadelpadre #IngRodolfo,,30,14,253,https://twitter.com/ingrodolfohdez/status/1406757862777442309
Ing Rodolfo Hernandez !,@ingrodolfohdez,2021-06-19T11:10:42.000Z,"SI LES QUITAMOS LA CHEQUERA A LOS LADRONES, LA PLATA SOBRA #IngRodolfo
@LigaGobernantes",,28,84,266,https://twitter.com/ingrodolfohdez/status/1406207808018735104
